JDA,T_LST,TaC_60m,rh_10m,Tdp_10m,TaC_10m,baroKPa,radW/m2,netW/m2
1,0:00,2.95,99.49,3.45,3.46,98.46,82.56,-3.54
1,0:15,2.83,99.28,3.3,3.35,98.46,82.19,-3.25
1,0:30,2.7,98.95,3.15,3.23,98.47,81.91,-3.71
1,0:45,2.63,98.64,3.05,3.14,98.48,83.19,-2.99
1,1:00,2.54,98.29,2.94,3.09,98.5,83.43,-3.69
1,1:15,2.39,97.56,2.73,2.94,98.5,83.81,-4.12
1,1:30,2.29,97.36,2.49,2.79,98.53,83.75,-3.69
1,1:45,1.88,97.33,2.19,2.41,98.54,82.8,-6.06
1,2:00,1.3,97.28,1.55,1.79,98.57,83.05,-6.52
1,2:15,1.2,97.55,1.43,1.66,98.59,83.22,-3.51
1,2:30,1.1,97.83,1.42,1.55,98.57,82.62,-3.22
1,2:45,1.09,97.96,1.39,1.53,98.54,84.91,-2.77
1,3:00,1.13,98.06,1.35,1.57,98.56,85.29,-2.24
1,3:15,1.22,98.24,1.6,1.66,98.57,84.19,-2.14
1,3:30,1.39,98.2,1.64,1.82,98.57,84.89,-2.01
1,3:45,1.65,97.91,1.94,2.14,98.58,84.12,-2.14
1,4:00,1.73,96.78,1.82,2.26,98.59,83.92,-4.87
1,4:15,1.39,95.69,1.45,1.9,98.58,84.07,-7.83
1,4:30,1.15,95.97,1.23,1.65,98.59,85.13,-6.53
1,4:45,1.04,95.75,1.04,1.55,98.64,84.23,-6.27
1,5:00,1.04,94.65,0.87,1.54,98.64,84.26,-6.58
1,5:15,1.02,93.75,0.84,1.53,98.62,85.33,-7.32
1,5:30,0.95,93.62,0.61,1.44,98.62,85.15,-7.25
1,5:45,0.83,93.31,0.51,1.34,98.65,84.19,-7.86
1,6:00,0.52,93.06,0.23,1.03,98.67,83.81,-8.95
1,6:15,0.41,93.11,0.08,0.89,98.68,84.98,-7.88
1,6:30,0.3,93.07,-0.08,0.78,98.65,83.83,-7.57
1,6:45,0.24,93.16,-0.04,0.72,98.66,83.9,-6.64
1,7:00,0.29,93.61,-0.01,0.74,98.67,83.78,-5.57
1,7:15,0.39,93.74,0.06,0.83,98.69,83.62,-5.42
1,7:30,0.56,93.41,0.12,0.97,98.71,83.54,-5.46
1,7:45,0.81,92.59,0.29,1.26,98.75,84.47,-5.7
1,8:00,0.69,93.91,0.53,1.13,98.79,85.33,-6.21
1,8:15,0.28,95.77,0.28,0.67,98.8,86.22,-7.66
1,8:30,0.02,96.86,0.13,0.38,98.8,85.98,-3.95
1,8:45,-0.11,97.06,0.04,0.27,98.78,87.7,-2.31
1,9:00,-0.07,97.01,-0.03,0.28,98.75,92.67,-0.18
1,9:15,0.01,97.09,0,0.37,98.71,97.38,2.36
1,9:30,0.2,95.71,0.1,0.6,98.75,102.86,1.26
1,9:45,0.21,93.08,-0.24,0.61,98.81,101.24,-1.04
1,10:00,0.15,91.48,-0.51,0.6,98.77,104.97,-1.7
1,10:15,0.06,90.69,-0.66,0.53,98.73,107.39,-1.24
1,10:30,0.1,88.4,-0.96,0.63,98.77,110.63,-2.17
1,10:45,0.05,87.88,-1.04,0.6,98.78,110.42,-2.76
1,11:00,-0.04,87.31,-1.21,0.54,98.78,110.86,-4.03
1,11:15,-0.12,87.23,-1.3,0.46,98.79,116.64,-0.35
1,11:30,-0.17,87.71,-1.27,0.41,98.77,113.69,-1.5
1,11:45,-0.12,85.85,-1.54,0.47,98.74,120.77,-3.32
1,12:00,-0.15,84.54,-1.74,0.45,98.72,115.22,-7.06
1,12:15,-0.32,85.95,-1.71,0.24,98.63,120.98,-7.47
1,12:30,-0.41,87.14,-1.61,0.16,98.62,125.68,-2.74
1,12:45,-0.57,88.74,-1.59,-0.05,98.62,116.26,-10.3
1,13:00,-0.81,91.79,-1.39,-0.31,98.61,113.38,-8.73
1,13:15,-0.97,93.36,-1.37,-0.49,98.63,124.68,-10.99
1,13:30,-1.1,94.45,-1.36,-0.63,98.53,131.9,-18.22
1,13:45,-1.12,95.07,-1.31,-0.66,98.55,125.45,-17.99
1,14:00,-1.21,95.48,-1.35,-0.74,98.56,126.94,-20.83
1,14:15,-1.29,94.81,-1.58,-0.81,98.55,116.78,-16.99
1,14:30,-1.39,94.04,-1.75,-0.9,98.6,108.24,-9.77
1,14:45,-1.47,94.12,-1.89,-1,98.61,109.04,-9.11
1,15:00,-1.59,94.18,-2,-1.12,98.57,107.21,-7.69
1,15:15,-1.67,93.22,-2.23,-1.21,98.61,101.03,-13.28
1,15:30,-1.75,93.82,-2.26,-1.34,98.6,97.04,-18.27
1,15:45,-1.84,94.57,-2.28,-1.45,98.59,91.31,-19.64
1,16:00,-1.87,95.84,-2.15,-1.46,98.6,85.28,-13.41
1,16:15,-1.84,95.52,-2.17,-1.39,98.63,82.4,-10.33
1,16:30,-1.86,94.19,-2.32,-1.4,98.65,79,-8.94
1,16:45,-1.91,93,-2.56,-1.46,98.65,77,-8.32
1,17:00,-1.93,93.69,-2.42,-1.5,98.64,75.79,-8.09
1,17:15,-1.89,93.28,-2.48,-1.46,98.7,76.34,-7.87
1,17:30,-1.87,94.47,-2.34,-1.46,98.74,77.44,-7.28
1,17:45,-1.98,94.9,-2.35,-1.57,98.75,77.22,-6.87
1,18:00,-2.14,95.79,-2.39,-1.74,98.73,77.09,-6.79
1,18:15,-2.95,95.5,-3.27,-2.46,98.73,76.44,-7.52
1,18:30,-3.7,95.12,-4.21,-3.23,98.77,75.69,-8.57
1,18:45,-4.06,94.36,-4.71,-3.59,98.74,76.63,-2.77
1,19:00,-4.17,93.77,-4.98,-3.71,98.74,76.57,-2.26
1,19:15,-4.23,94.11,-5.02,-3.81,98.73,75.25,-1.72
1,19:30,-4.27,94.02,-5.06,-3.83,98.74,75.09,-1.52
1,19:45,-4.21,94.06,-5.1,-3.82,98.72,75.73,-1.4
1,20:00,-3.74,94.38,-4.58,-3.45,98.72,75.49,-1.51
1,20:15,-2.93,93.81,-3.83,-2.64,98.72,72.93,-1.64
1,20:30,-2.58,92.22,-3.6,-2.21,98.75,76.02,-2.28
1,20:45,-2.51,90.56,-3.61,-2.09,98.75,75.66,-2.14
1,21:00,-2.6,92.35,-3.42,-2.17,98.76,75.17,-1.79
1,21:15,-2.56,91.83,-3.48,-2.14,98.75,75.5,-2.07
1,21:30,-2.55,91.23,-3.51,-2.12,98.75,75.73,-2.13
1,21:45,-2.52,90.37,-3.64,-2.09,98.76,75.74,-2.43
1,22:00,-2.58,89.83,-3.77,-2.15,98.77,74.37,-2.36
1,22:15,-2.63,91.96,-3.48,-2.19,98.77,75.95,-1.84
1,22:30,-2.72,93.73,-3.38,-2.31,98.76,74.54,-1.43
1,22:45,-2.73,94.23,-3.35,-2.29,98.8,74.72,-1.71
1,23:00,-2.68,93.41,-3.4,-2.24,98.83,73.85,-1.83
1,23:15,-2.59,91.34,-3.6,-2.15,98.85,74.42,-2.27
1,23:30,-2.57,90.05,-3.78,-2.13,98.86,74.3,-2.76
1,23:45,-3.4,90.25,-4.43,-2.94,98.9,73.94,-0.65
2,0:00,-4.31,93.78,-5.01,-3.82,98.91,71.81,0.9
2,0:15,-4.56,94.44,-5.29,-4.1,98.94,72.54,0.23
2,0:30,-4.87,94.4,-5.6,-4.39,98.94,74.17,0.02
2,0:45,-5.07,94.23,-5.87,-4.61,98.96,74.2,-0.05
2,1:00,-5.28,94.34,-6.07,-4.81,98.97,72.89,0.18
2,1:15,-5.6,94.15,-6.39,-5.12,98.99,73.11,-0.4
2,1:30,-5.91,93.15,-6.98,-5.45,99.01,72.6,-0.7
2,1:45,-6.14,92.78,-7.25,-5.67,99.02,73.05,-0.56
2,2:00,-6.41,91.78,-7.69,-5.93,99.05,73.4,-0.92
2,2:15,-6.74,90.97,-8.14,-6.27,99.05,73.54,-1.24
2,2:30,-7.11,91.14,-8.51,-6.64,99.06,73.56,-1.29
2,2:45,-7.24,90.67,-8.72,-6.8,99.08,73.57,-2.13
2,3:00,-7.29,90.43,-8.83,-6.85,99.08,72.99,-2.21
2,3:15,-7.29,90.29,-8.91,-6.86,99.07,74.23,-2.07
2,3:30,-7.26,89.81,-8.9,-6.82,99.09,73.69,-1.63
2,3:45,-7.22,89.46,-8.93,-6.8,99.09,74.49,-1.66
2,4:00,-7.17,89.53,-8.86,-6.74,99.11,74.42,-1.7
2,4:15,-7.19,89.29,-8.88,-6.76,99.11,74.56,-1.76
2,4:30,-7.13,89.34,-8.87,-6.71,99.12,73.25,-1.89
2,4:45,-7.08,89.22,-8.8,-6.66,99.13,74.72,-2
2,5:00,-7.19,89.22,-8.91,-6.74,99.16,73.52,-1.93
2,5:15,-7.47,88.61,-9.27,-7,99.18,73.61,-1.78
2,5:30,-7.59,88.25,-9.44,-7.14,99.18,69.57,-1.95
2,5:45,-7.58,88.34,-9.46,-7.13,99.2,71.52,-1.97
2,6:00,-7.66,88.09,-9.55,-7.2,99.22,70.93,-1.97
2,6:15,-7.68,88.22,-9.6,-7.23,99.25,72.04,-2.03
2,6:30,-7.74,88.15,-9.63,-7.28,99.25,71.65,-2
2,6:45,-7.78,88.34,-9.63,-7.33,99.26,70.89,-2.22
2,7:00,-7.91,88.07,-9.8,-7.44,99.29,70.11,-2.04
2,7:15,-8.01,87.82,-9.96,-7.56,99.33,71.78,-2.19
2,7:30,-8.12,87.17,-10.18,-7.66,99.38,72.69,-2.93
2,7:45,-8.23,86.87,-10.29,-7.76,99.44,76.56,-3.98
2,8:00,-8.37,86.59,-10.54,-7.89,99.48,79.52,-5.52
2,8:15,-8.43,86.42,-10.61,-7.95,99.52,84.58,-6.37
2,8:30,-8.6,86.47,-10.77,-8.1,99.53,92.78,-9.48
2,8:45,-8.67,85.86,-10.93,-8.18,99.54,100.18,-13.55
2,9:00,-8.64,85.86,-10.94,-8.14,99.55,107.23,-15.84
2,9:15,-8.5,86.16,-10.65,-7.98,99.56,124.43,-21.62
2,9:30,-8.24,86.31,-10.28,-7.69,99.58,162.88,-34.53
2,9:45,-8.05,85.94,-10.11,-7.5,99.62,164.8,-35.35
2,10:00,-7.8,85.47,-9.91,-7.2,99.63,215.78,-53.45
