date,temp_atmos_10,radW/m2,netW/m2
date
2022-01-01 06:00:00+00:00,3.46,82.56,-3.54
2022-01-01 06:15:00+00:00,3.35,82.19,-3.25
2022-01-01 06:30:00+00:00,3.23,81.91,-3.71
2022-01-01 06:45:00+00:00,3.14,83.19,-2.99
2022-01-01 07:00:00+00:00,3.09,83.43,-3.69
2022-01-01 07:15:00+00:00,2.94,83.81,-4.12
2022-01-01 07:30:00+00:00,2.79,83.75,-3.69
2022-01-01 07:45:00+00:00,2.41,82.80,-6.06
2022-01-01 08:00:00+00:00,1.79,83.05,-6.52
2022-01-01 08:15:00+00:00,1.66,83.22,-3.51
2022-01-01 08:30:00+00:00,1.55,82.62,-3.22
2022-01-01 08:45:00+00:00,1.53,84.91,-2.77
2022-01-01 09:00:00+00:00,1.57,85.29,-2.24
2022-01-01 09:15:00+00:00,1.66,84.19,-2.14
2022-01-01 09:30:00+00:00,1.82,84.89,-2.01
2022-01-01 09:45:00+00:00,2.14,84.12,-2.14
2022-01-01 10:00:00+00:00,2.26,83.92,-4.87
2022-01-01 10:15:00+00:00,1.90,84.07,-7.83
2022-01-01 10:30:00+00:00,1.65,85.13,-6.53
2022-01-01 10:45:00+00:00,1.55,84.23,-6.27
2022-01-01 11:00:00+00:00,1.54,84.26,-6.58
2022-01-01 11:15:00+00:00,1.53,85.33,-7.32
2022-01-01 11:30:00+00:00,1.44,85.15,-7.25
2022-01-01 11:45:00+00:00,1.34,84.19,-7.86
2022-01-01 12:00:00+00:00,1.03,83.81,-8.95
2022-01-01 12:15:00+00:00,0.89,84.98,-7.88
2022-01-01 12:30:00+00:00,0.78,83.83,-7.57
2022-01-01 12:45:00+00:00,0.72,83.90,-6.64
2022-01-01 13:00:00+00:00,0.74,83.78,-5.57
2022-01-01 13:15:00+00:00,0.83,83.62,-5.42
2022-01-01 13:30:00+00:00,0.97,83.54,-5.46
2022-01-01 13:45:00+00:00,1.26,84.47,-5.70
2022-01-01 14:00:00+00:00,1.13,85.33,-6.21
2022-01-01 14:15:00+00:00,0.67,86.22,-7.66
2022-01-01 14:30:00+00:00,0.38,85.98,-3.95
2022-01-01 14:45:00+00:00,0.27,87.70,-2.31
2022-01-01 15:00:00+00:00,0.28,92.67,-0.18
2022-01-01 15:15:00+00:00,0.37,97.38,2.36
2022-01-01 15:30:00+00:00,0.60,102.86,1.26
2022-01-01 15:45:00+00:00,0.61,101.24,-1.04
2022-01-01 16:00:00+00:00,0.60,104.97,-1.70
2022-01-01 16:15:00+00:00,0.53,107.39,-1.24
2022-01-01 16:30:00+00:00,0.63,110.63,-2.17
2022-01-01 16:45:00+00:00,0.60,110.42,-2.76
2022-01-01 17:00:00+00:00,0.54,110.86,-4.03
2022-01-01 17:15:00+00:00,0.46,116.64,-0.35
2022-01-01 17:30:00+00:00,0.41,113.69,-1.50
2022-01-01 17:45:00+00:00,0.47,120.77,-3.32
2022-01-01 18:00:00+00:00,0.45,115.22,-7.06
2022-01-01 18:15:00+00:00,0.24,120.98,-7.47
2022-01-01 18:30:00+00:00,0.16,125.68,-2.74
2022-01-01 18:45:00+00:00,-0.05,116.26,-10.30
2022-01-01 19:00:00+00:00,-0.31,113.38,-8.73
2022-01-01 19:15:00+00:00,-0.49,124.68,-10.99
2022-01-01 19:30:00+00:00,-0.63,131.90,-18.22
2022-01-01 19:45:00+00:00,-0.66,125.45,-17.99
2022-01-01 20:00:00+00:00,-0.74,126.94,-20.83
2022-01-01 20:15:00+00:00,-0.81,116.78,-16.99
2022-01-01 20:30:00+00:00,-0.90,108.24,-9.77
2022-01-01 20:45:00+00:00,-1.00,109.04,-9.11
2022-01-01 21:00:00+00:00,-1.12,107.21,-7.69
2022-01-01 21:15:00+00:00,-1.21,101.03,-13.28
2022-01-01 21:30:00+00:00,-1.34,97.04,-18.27
2022-01-01 21:45:00+00:00,-1.45,91.31,-19.64
2022-01-01 22:00:00+00:00,-1.46,85.28,-13.41
2022-01-01 22:15:00+00:00,-1.39,82.40,-10.33
2022-01-01 22:30:00+00:00,-1.40,79.00,-8.94
2022-01-01 22:45:00+00:00,-1.46,77.00,-8.32
2022-01-01 23:00:00+00:00,-1.50,75.79,-8.09
2022-01-01 23:15:00+00:00,-1.46,76.34,-7.87
2022-01-01 23:30:00+00:00,-1.46,77.44,-7.28
2022-01-01 23:45:00+00:00,-1.57,77.22,-6.87
2022-01-02 00:00:00+00:00,-1.74,77.09,-6.79
2022-01-02 00:15:00+00:00,-2.46,76.44,-7.52
2022-01-02 00:30:00+00:00,-3.23,75.69,-8.57
2022-01-02 00:45:00+00:00,-3.59,76.63,-2.77
2022-01-02 01:00:00+00:00,-3.71,76.57,-2.26
2022-01-02 01:15:00+00:00,-3.81,75.25,-1.72
2022-01-02 01:30:00+00:00,-3.83,75.09,-1.52
2022-01-02 01:45:00+00:00,-3.82,75.73,-1.40
2022-01-02 02:00:00+00:00,-3.45,75.49,-1.51
2022-01-02 02:15:00+00:00,-2.64,72.93,-1.64
2022-01-02 02:30:00+00:00,-2.21,76.02,-2.28
2022-01-02 02:45:00+00:00,-2.09,75.66,-2.14
2022-01-02 03:00:00+00:00,-2.17,75.17,-1.79
2022-01-02 03:15:00+00:00,-2.14,75.50,-2.07
2022-01-02 03:30:00+00:00,-2.12,75.73,-2.13
2022-01-02 03:45:00+00:00,-2.09,75.74,-2.43
2022-01-02 04:00:00+00:00,-2.15,74.37,-2.36
2022-01-02 04:15:00+00:00,-2.19,75.95,-1.84
2022-01-02 04:30:00+00:00,-2.31,74.54,-1.43
2022-01-02 04:45:00+00:00,-2.29,74.72,-1.71
2022-01-02 05:00:00+00:00,-2.24,73.85,-1.83
2022-01-02 05:15:00+00:00,-2.15,74.42,-2.27
2022-01-02 05:30:00+00:00,-2.13,74.30,-2.76
2022-01-02 05:45:00+00:00,-2.94,73.94,-0.65
2022-01-02 06:00:00+00:00,-3.82,71.81,0.90
2022-01-02 06:15:00+00:00,-4.10,72.54,0.23
2022-01-02 06:30:00+00:00,-4.39,74.17,0.02
2022-01-02 06:45:00+00:00,-4.61,74.20,-0.05
2022-01-02 07:00:00+00:00,-4.81,72.89,0.18
2022-01-02 07:15:00+00:00,-5.12,73.11,-0.40
2022-01-02 07:30:00+00:00,-5.45,72.60,-0.70
2022-01-02 07:45:00+00:00,-5.67,73.05,-0.56
2022-01-02 08:00:00+00:00,-5.93,73.40,-0.92
2022-01-02 08:15:00+00:00,-6.27,73.54,-1.24
2022-01-02 08:30:00+00:00,-6.64,73.56,-1.29
2022-01-02 08:45:00+00:00,-6.80,73.57,-2.13
2022-01-02 09:00:00+00:00,-6.85,72.99,-2.21
2022-01-02 09:15:00+00:00,-6.86,74.23,-2.07
2022-01-02 09:30:00+00:00,-6.82,73.69,-1.63
2022-01-02 09:45:00+00:00,-6.80,74.49,-1.66
2022-01-02 10:00:00+00:00,-6.74,74.42,-1.70
2022-01-02 10:15:00+00:00,-6.76,74.56,-1.76
2022-01-02 10:30:00+00:00,-6.71,73.25,-1.89
2022-01-02 10:45:00+00:00,-6.66,74.72,-2.00
2022-01-02 11:00:00+00:00,-6.74,73.52,-1.93
