date,temp_atmos_60,temp_atmos_10
2022-01-01 06:00:00+00:00,2.95,3.46
2022-01-01 06:15:00+00:00,2.83,3.35
2022-01-01 06:30:00+00:00,2.70,3.23
2022-01-01 06:45:00+00:00,2.63,3.14
2022-01-01 07:00:00+00:00,2.54,3.09
2022-01-01 07:15:00+00:00,2.39,2.94
2022-01-01 07:30:00+00:00,2.29,2.79
2022-01-01 07:45:00+00:00,1.88,2.41
2022-01-01 08:00:00+00:00,1.30,1.79
2022-01-01 08:15:00+00:00,1.20,1.66
2022-01-01 08:30:00+00:00,1.10,1.55
2022-01-01 08:45:00+00:00,1.09,1.53
2022-01-01 09:00:00+00:00,1.13,1.57
2022-01-01 09:15:00+00:00,1.22,1.66
2022-01-01 09:30:00+00:00,1.39,1.82
2022-01-01 09:45:00+00:00,1.65,2.14
2022-01-01 10:00:00+00:00,1.73,2.26
2022-01-01 10:15:00+00:00,1.39,1.90
2022-01-01 10:30:00+00:00,1.15,1.65
2022-01-01 10:45:00+00:00,1.04,1.55
2022-01-01 11:00:00+00:00,1.04,1.54
2022-01-01 11:15:00+00:00,1.02,1.53
2022-01-01 11:30:00+00:00,0.95,1.44
2022-01-01 11:45:00+00:00,0.83,1.34
2022-01-01 12:00:00+00:00,0.52,1.03
2022-01-01 12:15:00+00:00,0.41,0.89
2022-01-01 12:30:00+00:00,0.30,0.78
2022-01-01 12:45:00+00:00,0.24,0.72
2022-01-01 13:00:00+00:00,0.29,0.74
2022-01-01 13:15:00+00:00,0.39,0.83
2022-01-01 13:30:00+00:00,0.56,0.97
2022-01-01 13:45:00+00:00,0.81,1.26
2022-01-01 14:00:00+00:00,0.69,1.13
2022-01-01 14:15:00+00:00,0.28,0.67
2022-01-01 14:30:00+00:00,0.02,0.38
2022-01-01 14:45:00+00:00,-0.11,0.27
2022-01-01 15:00:00+00:00,-0.07,0.28
2022-01-01 15:15:00+00:00,0.01,0.37
2022-01-01 15:30:00+00:00,0.20,0.60
2022-01-01 15:45:00+00:00,0.21,0.61
2022-01-01 16:00:00+00:00,0.15,0.60
2022-01-01 16:15:00+00:00,0.06,0.53
2022-01-01 16:30:00+00:00,0.10,0.63
2022-01-01 16:45:00+00:00,0.05,0.60
2022-01-01 17:00:00+00:00,-0.04,0.54
2022-01-01 17:15:00+00:00,-0.12,0.46
2022-01-01 17:30:00+00:00,-0.17,0.41
2022-01-01 17:45:00+00:00,-0.12,0.47
2022-01-01 18:00:00+00:00,-0.15,0.45
2022-01-01 18:15:00+00:00,-0.32,0.24
2022-01-01 18:30:00+00:00,-0.41,0.16
2022-01-01 18:45:00+00:00,-0.57,-0.05
2022-01-01 19:00:00+00:00,-0.81,-0.31
2022-01-01 19:15:00+00:00,-0.97,-0.49
2022-01-01 19:30:00+00:00,-1.10,-0.63
2022-01-01 19:45:00+00:00,-1.12,-0.66
2022-01-01 20:00:00+00:00,-1.21,-0.74
2022-01-01 20:15:00+00:00,-1.29,-0.81
2022-01-01 20:30:00+00:00,-1.39,-0.90
2022-01-01 20:45:00+00:00,-1.47,-1.00
2022-01-01 21:00:00+00:00,-1.59,-1.12
2022-01-01 21:15:00+00:00,-1.67,-1.21
2022-01-01 21:30:00+00:00,-1.75,-1.34
2022-01-01 21:45:00+00:00,-1.84,-1.45
2022-01-01 22:00:00+00:00,-1.87,-1.46
2022-01-01 22:15:00+00:00,-1.84,-1.39
2022-01-01 22:30:00+00:00,-1.86,-1.40
2022-01-01 22:45:00+00:00,-1.91,-1.46
2022-01-01 23:00:00+00:00,-1.93,-1.50
2022-01-01 23:15:00+00:00,-1.89,-1.46
2022-01-01 23:30:00+00:00,-1.87,-1.46
2022-01-01 23:45:00+00:00,-1.98,-1.57
2022-01-02 00:00:00+00:00,-2.14,-1.74
2022-01-02 00:15:00+00:00,-2.95,-2.46
2022-01-02 00:30:00+00:00,-3.70,-3.23
2022-01-02 00:45:00+00:00,-4.06,-3.59
2022-01-02 01:00:00+00:00,-4.17,-3.71
